,start_date,end_date,storm_index,3_hour_steps,1_hour_steps
0,1990-01-21 03:00:00,1990-01-28 18:00:00,1,61,183
1,1990-01-23 03:00:00,1990-01-29 12:00:00,2,51,153
2,1990-01-28 18:00:00,1990-02-05 00:00:00,3,58,174
3,1990-02-18 12:00:00,1990-02-20 09:00:00,4,15,45
4,1990-02-23 18:00:00,1990-02-28 18:00:00,5,40,120
5,1990-02-22 15:00:00,1990-03-04 00:00:00,6,75,225
6,1990-02-01 00:00:00,1990-02-06 06:00:00,7,42,126
7,1991-01-03 00:00:00,1991-01-14 00:00:00,8,88,264
8,1991-12-18 18:00:00,1991-12-22 00:00:00,9,26,78
9,1991-12-30 21:00:00,1992-01-04 09:00:00,10,36,108
10,1992-02-24 06:00:00,1992-03-09 03:00:00,11,111,333
11,1992-12-15 15:00:00,1992-12-21 15:00:00,12,48,144
12,1992-12-22 21:00:00,1992-12-29 21:00:00,13,56,168
13,1993-01-04 00:00:00,1993-01-16 12:00:00,14,100,300
14,1993-01-08 00:00:00,1993-01-15 00:00:00,15,56,168
15,1993-01-14 03:00:00,1993-01-22 12:00:00,16,67,201
16,1993-01-12 00:00:00,1993-01-16 18:00:00,17,38,114
17,1993-02-02 18:00:00,1993-02-04 00:00:00,18,10,30
18,1993-12-03 00:00:00,1993-12-12 09:00:00,19,75,225
19,1994-01-21 12:00:00,1994-01-26 18:00:00,20,42,126
20,1994-01-23 06:00:00,1994-02-02 03:00:00,21,79,237
21,1994-12-07 18:00:00,1994-12-11 18:00:00,22,32,96
22,1995-01-16 06:00:00,1995-01-19 09:00:00,23,25,75
23,1995-01-23 00:00:00,1995-01-24 00:00:00,24,8,24
24,1995-10-24 03:00:00,1995-10-25 00:00:00,25,7,21
25,1996-10-06 09:00:00,1996-10-15 18:00:00,26,75,225
26,1996-10-12 00:00:00,1996-10-31 15:00:00,27,157,471
27,1996-11-05 12:00:00,1996-11-12 00:00:00,28,52,156
28,1997-02-15 03:00:00,1997-02-23 18:00:00,29,69,207
29,1997-02-22 09:00:00,1997-02-28 00:00:00,30,45,135
30,1997-12-22 18:00:00,1997-12-25 18:00:00,31,24,72
31,1997-12-31 00:00:00,1998-01-06 03:00:00,32,49,147
32,1997-12-31 12:00:00,1998-01-06 00:00:00,33,44,132
33,1998-12-24 00:00:00,1998-12-29 18:00:00,34,46,138
34,1999-01-13 12:00:00,1999-01-19 06:00:00,35,46,138
35,1998-10-27 12:00:00,1998-10-30 00:00:00,36,20,60
36,1999-12-02 00:00:00,1999-12-06 15:00:00,37,37,111
37,1999-12-24 00:00:00,1999-12-26 12:00:00,38,20,60
38,1999-12-31 06:00:00,2000-01-07 18:00:00,39,60,180
39,1999-12-26 03:00:00,2000-01-01 12:00:00,40,51,153
40,2000-11-24 21:00:00,2000-11-27 00:00:00,41,17,51
41,2000-10-29 18:00:00,2000-11-03 06:00:00,42,36,108
42,2001-12-25 18:00:00,2001-12-30 18:00:00,43,40,120
43,2002-01-25 15:00:00,2002-02-02 15:00:00,44,64,192
44,2002-02-21 09:00:00,2002-03-03 06:00:00,45,79,237
45,2002-10-23 12:00:00,2002-10-31 06:00:00,46,62,186
46,2005-01-05 18:00:00,2005-01-11 03:00:00,47,43,129
47,2005-01-07 00:00:00,2005-01-18 12:00:00,48,92,276
48,2005-11-02 00:00:00,2005-11-13 18:00:00,49,94,282
49,2005-11-09 03:00:00,2005-11-13 21:00:00,50,38,114
50,2006-01-08 12:00:00,2006-01-16 21:00:00,51,67,201
51,2006-12-30 00:00:00,2007-01-04 03:00:00,52,41,123
52,2007-03-15 12:00:00,2007-03-20 03:00:00,53,37,111
53,2007-01-14 06:00:00,2007-01-21 03:00:00,54,55,165
54,2007-11-06 18:00:00,2007-11-11 09:00:00,55,37,111
55,2007-12-03 15:00:00,2007-12-10 18:00:00,56,57,171
56,2008-01-07 18:00:00,2008-01-10 18:00:00,57,24,72
57,2008-01-20 03:00:00,2008-01-27 09:00:00,58,58,174
58,2008-02-05 00:00:00,2008-02-09 21:00:00,59,39,117
59,2008-03-07 21:00:00,2008-03-16 15:00:00,60,70,210
60,2008-02-25 00:00:00,2008-03-03 18:00:00,61,62,186
61,2008-12-16 06:00:00,2008-12-21 15:00:00,62,43,129
62,2009-01-13 03:00:00,2009-01-19 09:00:00,63,50,150
63,2009-01-22 00:00:00,2009-01-27 15:00:00,64,45,135
64,2010-02-23 00:00:00,2010-03-07 03:00:00,65,97,291
65,2011-02-01 09:00:00,2011-02-05 09:00:00,66,32,96
66,2011-11-23 00:00:00,2011-11-28 12:00:00,67,44,132
67,2011-12-06 15:00:00,2011-12-14 00:00:00,68,59,177
68,2011-12-22 21:00:00,2011-12-26 21:00:00,69,32,96
69,2012-01-02 15:00:00,2012-01-07 15:00:00,70,40,120
70,2013-10-26 03:00:00,2013-10-30 06:00:00,71,33,99
71,2013-11-11 21:00:00,2013-11-19 12:00:00,72,61,183
72,2013-12-02 09:00:00,2013-12-09 00:00:00,73,53,159
73,2013-12-12 12:00:00,2013-12-16 03:00:00,74,29,87
74,2013-12-12 18:00:00,2013-12-18 21:00:00,75,49,147
75,2013-12-15 15:00:00,2013-12-20 15:00:00,76,40,120
76,2013-12-10 06:00:00,2013-12-15 15:00:00,77,43,129
77,2013-12-22 18:00:00,2013-12-30 09:00:00,78,61,183
78,2014-02-09 09:00:00,2014-02-15 00:00:00,79,45,135
79,2015-01-05 00:00:00,2015-01-12 12:00:00,80,60,180
80,2015-01-05 15:00:00,2015-01-10 21:00:00,81,42,126
81,2015-01-10 12:00:00,2015-01-15 21:00:00,82,43,129
82,2015-01-12 18:00:00,2015-01-19 09:00:00,83,53,159
83,2015-02-06 18:00:00,2015-02-10 09:00:00,84,29,87
84,2016-01-27 15:00:00,2016-02-01 03:00:00,85,36,108
85,2016-01-30 03:00:00,2016-02-04 09:00:00,86,42,126
86,2016-02-03 21:00:00,2016-02-10 03:00:00,87,50,150
87,2016-12-19 06:00:00,2016-12-25 06:00:00,88,48,144
88,2016-12-21 03:00:00,2016-12-29 09:00:00,89,66,198
89,2017-10-04 03:00:00,2017-10-17 21:00:00,90,110,330
90,2020-02-06 18:00:00,2020-02-09 03:00:00,91,19,57
91,2020-02-08 21:00:00,2020-02-12 09:00:00,92,28,84
92,2020-02-13 09:00:00,2020-02-17 18:00:00,93,35,105
93,2020-10-01 00:00:00,2020-10-07 00:00:00,94,48,144
94,2020-10-29 06:00:00,2020-11-04 09:00:00,95,49,147
95,2021-03-21 18:00:00,2021-03-25 03:00:00,96,27,81
